Date,Australia,Germany,Japan,UK,USA
1985-01-01,0.0,0.01186741949080536,0.0,-0.009950330853168092,-0.011244518826259303
1985-01-02,-0.01143162519558598,-0.008098188935554224,0.0,-0.011458845138105125,-0.004849376054813586
1985-01-03,0.00613362212155301,0.0007278903633278595,0.0038900775712916503,0.007022790874277623,-0.005422709403974962
1985-01-04,0.009299704047907321,0.009294532479249738,0.00011995834188348094,0.011786026102559964,0.0034154705073617775
1985-01-07,0.012411447204651864,0.010993060878811307,0.005979643601495951,0.011729153677424525,-0.0015233223553238618
1985-01-08,0.011697788874375704,0.004978673157315982,0.004175371410480592,0.012546614419679409,0.0072303380272166
1985-01-09,0.0025737067314198867,-0.0042659147522300465,0.00488872155018593,0.0014284583017807376,0.018771728755503776
1985-01-10,-0.00804001154694116,-0.00344971495385906,0.00048326559606298296,-0.009882133337275893,-0.002379395566696965
1985-01-11,-0.019929867348330417,-0.007175347695270455,-0.0011064859461116816,-0.02276231279462896,0.015365824458682415
1985-01-14,0.007764145202386467,0.007056179489206794,0.0,0.010351806178980502,0.0017578816199091188
1985-01-15,0.01627652042270849,-0.0005960541393614672,0.005798111767295617,0.016805766818008726,0.0022222231367175172
1985-01-16,0.006216884711666997,0.0071293077631809235,-0.0017326948803170327,0.0050109470531156455,-0.0026906895035448174
1985-01-17,0.010889043714217058,0.006490847123469981,-0.0016070284152747791,0.0137889747315381,0.003449791464028057
1985-01-18,0.002744376971120404,-0.002945163229169153,0.0029121764459781006,0.0008604169641850179,0.022566243973157485
1985-01-21,0.01709140991066942,0.0008255204195448726,-0.003963498204329006,0.02066077283515019,0.001425679577685421
1985-01-22,-0.01346546100703137,-0.012574305653925153,-0.002643911948116196,-0.01699276232311206,0.010318136782149052
1985-01-23,-0.008046635782387427,-0.006467088407714491,-0.00071053314504262,-0.007035676302005268,-0.0033332422601980004
1985-01-24,0.010161091533100935,0.0,-0.007382739840470976,0.010379770875423246,0.00361521039966663
1985-01-25,-0.01851934914730207,0.00024026910254949948,-0.002705126720904663,-0.01738629432309398,0.00028188865584831
1985-01-28,-0.012345529762420902,-0.0034895649392813204,0.0033775560598217724,-0.013120938903421425,0.009983817293953177
1985-01-29,0.020312786899181815,0.005529524847527307,0.007399319755076324,0.022165080610947577,0.0011713195415666991
